variable_name,limesurvey_export_name,codebook_name_if_applicable,classification,keep_drop_decision,reason,manual_review_needed,question_type,codebook_label,codebook_type,codebook_scale,crosswalk_match_type,question_text,subquestion_text
WV3,TAM[WV3],WV3,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Perception that the app can be trusted completely.,ordinal,app trust,subquestion_code,,Ich kann der {AppName} uneingeschränkt vertrauen.
WV4,TAM[WV4],WV4,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Perception that the app keeps its promises.,ordinal,app trust,subquestion_code,,Die {AppName} hält ihre Versprechen.
NI1,TAM[NI1],NI1,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Intention to use the app regularly in the future.,ordinal,future usage intention,subquestion_code,,Ich würde die {AppName} in Zukunft regelmässig nutzen.
NI2,TAM[NI2],NI2,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Intention to use the app frequently in the future.,ordinal,future usage intention,subquestion_code,,Ich würde die {AppName} in Zukunft häufig verwenden.
NI3,TAM[NI3],NI3,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Intention to use the app if access to a smartphone is available.,ordinal,future usage intention,subquestion_code,,"Wenn ich Zugang zu einem Smartphone habe, würde ich beabsichtigen, die {AppName} zu nutzen."
NI4,TAM[NI4],NI4,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Expected future use of the app if access to a smartphone is available.,ordinal,future usage intention,subquestion_code,,"Sofern ich Zugang zu einem Smartphone habe, gehe ich davon aus, dass ich die {AppName} nutzen würde."
QualPos,QualPos,QualPos,free_text,drop,Open text or free-text-like field; drop by default unless manually anonymized/reviewed.,true,T,Most positively perceived aspect of the app.,text,app evaluation,question_code,Was hat dir an der {AppName} am besten gefallen?,
QualNeg,QualNeg,QualNeg,free_text,drop,Open text or free-text-like field; drop by default unless manually anonymized/reviewed.,true,T,Suggested improvements for the app.,text,app evaluation,question_code,Welche Verbesserungsvorschläge hättest du für die {AppName}?,
QualOthApp,QualOthApp,QualOthApp,free_text,drop,Open text or free-text-like field; drop by default unless manually anonymized/reviewed.,true,T,Description of other apps or devices used and their purpose.,text,other app use,question_code,Welche anderen Apps oder Geräte waren das und wofür hast du sie genau genutzt?,
AppUseDays,AppUseDays,AppUseDays,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,!,Average number of days per week the relevant app or device was used during the previous 12 weeks.,numeric,app use,question_code,An wie vielen Tagen pro Woche hast du diese im Durchschnitt verwendet?,
AppUseStudy,AppUseStudy,AppUseStudy,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Y,Use of the study-relevant app or device during the previous 12 weeks.,logical,app use,question_code,"Hast du in den vergangenen 12 Wochen {if((studyGroup == 1 AND timePoint == 2) OR (studyGroup == 2 AND timePoint == 3), ""die Studien KI-App"", if(studyGroup == 2 AND timePoint == 2, ""deine vorinstallierte Gesundheits-App (z. B. Apple Health, Google Fit)"", ""irgendeine App oder Sportuhr (Wearable)""))} v",
timePoint,timePoint,timePoint,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,*,Measurement time point of survey administration.,categorical,technical / wave control,question_code,1,
studyGroup,studyGroup,studyGroup,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,*,Study group allocation indicating the order of study phases.,categorical,technical / group allocation,question_code,,
otherAppUse,otherAppUse,otherAppUse,free_text,drop,Open text or free-text-like field; drop by default unless manually anonymized/reviewed.,true,Y,Use of other apps or wearable devices to promote physical activity during the previous 12 weeks.,logical,other app use,question_code,"Hast du in den vergangenen 12 Wochen andere Apps oder Sportuhren (Wearable) verwendet, um deine körperliche Aktivität zu fördern?",
AppName,AppName,AppName,contact_or_operational,drop,Operational/contact-side variable; not part of default analysis output.,true,*,Hidden app label displayed in wave-specific app questions.,categorical,technical / display logic,question_code,,
TransferAppDetail,TransferAppDetail,TransferAppDetail,free_text,drop,Open text or free-text-like field; drop by default unless manually anonymized/reviewed.,true,T,Description of apps or devices used during the transfer phase and their purpose.,text,app use,question_code,"""Welche anderen Apps oder Geräte hast du genutzt und wofür genau?""",
QualAppGeneral,QualAppGeneral,QualAppGeneral,free_text,drop,Open text or free-text-like field; drop by default unless manually anonymized/reviewed.,true,T,"Description of currently used apps or devices, including duration, frequency, and purpose of use.",text,prior app use,question_code,"Welche Apps oder Geräte nutzt du aktuell? Beschreibe bitte seit wann, wie oft und wofür du die Apps/Geräte nutzt?",
AppUseGeneral,AppUseGeneral,AppUseGeneral,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,Y,Previous use of apps or wearable devices to promote physical activity.,logical,prior app use,question_code,"Hast du in der Vergangenheit bereits Apps oder Sportuhren (Wearables) verwendet, um deine körperliche Aktivität zu fördern?",
PhoneSystem,PhoneSystem,PhoneSystem,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,L,Smartphone operating system used by the participant.,categorical,device information,question_code,Welches Betriebssystem hat dein Smartphone?,
SystemLink,SystemLink,SystemLink,direct_identifier,drop,Direct identifier or contact/linkage field; never include in default analysis output.,true,*,Hidden app store / system link generated for the participant.,text,technical / contact,question_code,,
MotivComp4,MotivComp[MotivComp4],MotivComp4,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Ease of judging what characterizes different physical activities.,ordinal,motivational competence,subquestion_code,,"Mir fällt es sehr leicht abzuschätzen, was verschiedene Bewegungs- und Sportaktivitäten auszeichnen."
MotivComp3,MotivComp[MotivComp3],MotivComp3,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Clarity about what matters personally in a physical activity so that it is enjoyable.,ordinal,motivational competence,subquestion_code,,"Ich weiß genau, worauf es mir bei einer Bewegungs- und Sportaktivität ankommt, damit sie mir gefällt."
MotivComp2,MotivComp[MotivComp2],MotivComp2,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Ability to recognize whether a physical activity is a good personal fit.,ordinal,motivational competence,subquestion_code,,"Ich kann sehr gut erkennen, ob eine Bewegungs- und Sportaktivität zu mir passt."
MotivComp1,MotivComp[MotivComp1],MotivComp1,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Ability to choose a suitable physical activity from a variety of options.,ordinal,motivational competence,subquestion_code,,"Ich bin sehr gut in der Lage aus einer Vielfalt von Bewegungs- und Sportaktivitäten diejenige auswählen, welche mir am meisten entspricht."
VolSelf3,VolSelf[VolSelf3],VolSelf3,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Discipline in implementing one’s intention to become more physically active.,ordinal,volitional self-control,subquestion_code,,"Wenn ich mir vornehme, mich mehr bewegen zu wollen, habe ich viel Disziplin bei der Umsetzung."
VolSelf2,VolSelf[VolSelf2],VolSelf2,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Tendency to keep one’s intention to be active in mind and not be easily distracted from it.,ordinal,volitional self-control,subquestion_code,,"Mein Vorhaben, mich zu bewegen, behalte ich im Auge und lasse mich nicht leicht davon abbringen."
VolSelf1,VolSelf[VolSelf1],VolSelf1,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Tendency to carry out a planned physical activity.,ordinal,volitional self-control,subquestion_code,,"Wenn ich eine Bewegungs- und Sportaktivität geplant habe, setze ich das in der Regel auch um."
ActionPlan3,ActionPlan[ActionPlan3],ActionPlan3,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Plan for on which days of the week physical activity will be performed during the next two weeks.,ordinal,action planning,subquestion_code,,…an welchen Tagen der Woche ich mich bewege bzw. sportlich aktiv sein werde.
ActionPlan1,ActionPlan[ActionPlan1],ActionPlan1,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Plan for which type of physical activity will be performed during the next two weeks.,ordinal,action planning,subquestion_code,,…welche Art von Bewegungs- und Sportaktivitäten ich machen werde.
ActionPlan2,ActionPlan[ActionPlan2],ActionPlan2,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Plan for where physical activity will be performed during the next two weeks.,ordinal,action planning,subquestion_code,,…wo ich mich bewegen bzw. sportlich aktiv sein werde.
ActionPlan4,ActionPlan[ActionPlan4],ActionPlan4,sensitive_analysis_variable,keep_pseudonymized,"Closed-ended study construct or behavior variable; keep in pseudonymized analysis after codebook review, not for anonymized release by default.",false,F,Plan for how long physical activity will be performed during the next two weeks.,ordinal,action planning,subquestion_code,,…für wie lange ich mich bewege bzw. sportlich aktiv sein werde.
Prof,Prof,Prof,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,L,Current employment status of the participant.,categorical,demographics,question_code,Was ist dein derzeitiges Arbeitsverhältnis?,
AufWa,AlltagAbl[AufWa],AufWa,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,Q,Wake-up time on a typical day.,time (HH:MM),daily routine,subquestion_code,Wie verläuft für dich ein typischer (Arbeits-)Tag?,Aufwachen: Uhrzeit
StaProf,AlltagAbl[StaProf],StaProf,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,Q,Start time of work or study on a typical day.,time (HH:MM),daily routine,subquestion_code,Wie verläuft für dich ein typischer (Arbeits-)Tag?,Startzeit Arbeit/Ausbildung/Studium: Uhrzeit
PausDau,AlltagAbl[PausDau],PausDau,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,Q,Duration of breaks on a typical day.,duration (HH:MM),daily routine,subquestion_code,Wie verläuft für dich ein typischer (Arbeits-)Tag?,Dauer Pause: (im Format Stunden:Minuten angeben)
EndProf,AlltagAbl[EndProf],EndProf,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,Q,End time of work or study on a typical day.,time (HH:MM),daily routine,subquestion_code,Wie verläuft für dich ein typischer (Arbeits-)Tag?,Endzeit Arbeit/Ausbildung/Studium: Uhrzeit
FreiDau,AlltagAbl[FreiDau],FreiDau,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,Q,Duration of leisure time on a typical day.,duration (HH:MM),daily routine,subquestion_code,Wie verläuft für dich ein typischer (Arbeits-)Tag?,Dauer Freizeit: (im Format Stunden:Minuten angeben)
BettZeit,AlltagAbl[BettZeit],BettZeit,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,Q,Bedtime on a typical day.,time (HH:MM),daily routine,subquestion_code,Wie verläuft für dich ein typischer (Arbeits-)Tag?,Zu Bett gehen: Uhrzeit
Branche,Branche,Branche,free_text,drop,Open text or free-text-like field; drop by default unless manually anonymized/reviewed.,true,S,Short description of the participant’s occupational sector or field.,text,demographics,question_code,Bitte beschreibe die Branche/den Bereich deiner (Arbeits-)Tätigkeit kurz in drei Wörtern.,
Einko,Einko,Einko,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,L,Monthly gross income category.,ordinal,demographics,question_code,Was ist dein monatliches Einkommen (brutto) pro Monat?,
ACheck1,ACheck1[ACheck1],ACheck1,exclusion_or_qc_variable,review,Eligibility/QC/derived exclusion variable; likely needed for processing but needs protocol decision.,true,F,Attention check item instructing the respondent to select response category 3.,ordinal,attention check,subquestion_code,,"Wenn du diese Aussage aufmerksam liest, dann wähle bitte den Wert '3'."
BStel,EntfernPOI[BStel],BStel,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,Q,Approximate distance from home to place of occupation.,numeric,distance to points of interest,subquestion_code,"Wie weit sind folgende Orte ca. von dir entfernt? Wenn dir mehrere Orte zu einer Rubrik einfallen, dann nimm gerne einen Mittelwert aus allen Entfernung.","Beschäftigungstelle (z. B. Arbeitsort, Universität/Schule, [Home]Office)"
InBew,EntfernPOI[InBew],InBew,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,Q,Approximate distance from home to indoor physical activity opportunities.,numeric,distance to points of interest,subquestion_code,"Wie weit sind folgende Orte ca. von dir entfernt? Wenn dir mehrere Orte zu einer Rubrik einfallen, dann nimm gerne einen Mittelwert aus allen Entfernung.","Indoor Bewegungsmöglichkeiten (z. B. Gym/Fitnessstudio, Schwimmbad, Turnhalle)"
OutBew,EntfernPOI[OutBew],OutBew,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,Q,Approximate distance from home to outdoor physical activity opportunities.,numeric,distance to points of interest,subquestion_code,"Wie weit sind folgende Orte ca. von dir entfernt? Wenn dir mehrere Orte zu einer Rubrik einfallen, dann nimm gerne einen Mittelwert aus allen Entfernung.","Outdoor Bewegungsmöglichkeiten (z. B. Park/Wald, Trainingsplatz)"
METtotal,METtotal,METtotal,exclusion_or_qc_variable,review,Eligibility/QC/derived exclusion variable; likely needed for processing but needs protocol decision.,true,*,Hidden calculated total MET-minutes per week based on self-reported physical activity.,numeric,technical / physical activity classification,question_code,(unsichtbar),
PAFlag,PAFlag,PAFlag,exclusion_or_qc_variable,review,Eligibility/QC/derived exclusion variable; likely needed for processing but needs protocol decision.,true,*,Hidden physical activity classification flag based on METtotal and stage of change.,binary,technical / physical activity classification,question_code,(unsichtbar),
AttentionCheckFlag,AttentionCheckFlag,AttentionCheckFlag,exclusion_or_qc_variable,review,Eligibility/QC/derived exclusion variable; likely needed for processing but needs protocol decision.,true,*,Hidden flag for attention-check failure.,binary,technical / data quality,question_code,(unsichtbar),
Wohnort,Wohnort,Wohnort,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,L,Self-described type of residential area.,categorical,socio-demographic information,question_code,"Wie würdest du das Gebiet, in dem du aktuell lebst, am ehesten beschreiben? (Bitte orientiere dich an der ungefähren Einwohnerzahl deiner Gemeinde bzw. Stadt)",
Ver,UmgebTyp[Ver],Ver,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,F,Evaluation of whether the direct residential environment is densely built and highly sealed.,ordinal,residential environment,subquestion_code,Bitte bewerte deine direkte Wohnumgebung (d. h. im Umkreis von etwa 800 Meter bzw 10 Gehminuten) anhand der folgenden Aussagen:,Meine Umgebung ist dicht bebaut und stark versiegelt (d. h. viel Asphalt und Beton).
Nat,UmgebTyp[Nat],Nat,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,F,"Evaluation of whether the participant has quick access from home to nature such as forest, parks, or water.",ordinal,residential environment,subquestion_code,Bitte bewerte deine direkte Wohnumgebung (d. h. im Umkreis von etwa 800 Meter bzw 10 Gehminuten) anhand der folgenden Aussagen:,"Ich habe von zu Hause aus schnellen Zugang zu Natur wie Wald, Parks oder Gewässern (d. h. weniger als 300 Meter bzw 5 Gehminuten)."
Mov,UmgebTyp[Mov],Mov,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,F,Evaluation of whether pleasant and safe routes for walking or cycling are available in everyday life/leisure time.,ordinal,residential environment,subquestion_code,Bitte bewerte deine direkte Wohnumgebung (d. h. im Umkreis von etwa 800 Meter bzw 10 Gehminuten) anhand der folgenden Aussagen:,"Es gibt angenehme und sichere Wege, um im Alltag/in der Freizeit spazieren zu gehen oder mit dem Rad unterwegs zu sein."
HHGroesse,HHGroesse,HHGroesse,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,N,"Number of people living in the participant’s household, including the participant.",numeric,household information,question_code,"Wie viele Personen - inklusive dir - leben in dem Haushalt, in dem du lebst?",
HHMinderj,HHMinderj,HHMinderj,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,N,Number of minors under 18 years living in the participant’s household.,numeric,household information,question_code,Wie viele Personen in deinem Haushalt sind minderjährig (unter 18 Jahren)?,
CareArbeit,CareArbeit,CareArbeit,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,Y,"Whether the participant performs household, childcare, or care work for relatives.",logical,care work,question_code,"Übernimmst du Aufgaben im Haushalt, bei der Kinderbetreuung oder der Pflege von Angehörigen (d. h. Care-Arbeit)?",
CareStunden,CareStunden,CareStunden,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,N,"Estimated number of hours per week spent on household, childcare, or care work.",numeric,care work,question_code,Wie viele Stunden pro Woche verbringst du schätzungsweise mit diesen Aufgaben? (Bitte schätze die Dauer in vollen Stunden z. B. 12 Stunden),
Social,Social,Social,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,N,Estimated average number of hours per week spent with social contacts.,numeric,social contacts,question_code,"Wie viele Stunden pro Woche verbringst du durchschnittlich mit sozialen Kontakten (z. B. Freunde, Familie, Partner:in)? Bitte schätze einen durchschnittlichen Wert über die letzten 7 Tage.",
PASubgroup,PASubgroup,PASubgroup,exclusion_or_qc_variable,review,Eligibility/QC/derived exclusion variable; likely needed for processing but needs protocol decision.,true,*,Hidden subgroup classification for baseline physical activity level.,categorical,technical / subgrouping,question_code,(unsichtbar),
utmsource,utmsource,,recruitment_metadata,drop,Campaign/recruitment metadata; exclude unless recruitment-channel analyses are planned.,true,S,,,,no_direct_match,utm_source,
utmmedium,utmmedium,,recruitment_metadata,drop,Campaign/recruitment metadata; exclude unless recruitment-channel analyses are planned.,true,S,,,,no_direct_match,utm_medium,
utmcampaign,utmcampaign,,recruitment_metadata,drop,Campaign/recruitment metadata; exclude unless recruitment-channel analyses are planned.,true,S,,,,no_direct_match,utm_campaign,
utmcontent,utmcontent,,recruitment_metadata,drop,Campaign/recruitment metadata; exclude unless recruitment-channel analyses are planned.,true,S,,,,no_direct_match,utm_content,
BeschaeftProz,BeschaeftProz,,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,N,,,,no_direct_match,Wie hoch ist dein aktueller Beschäftigungsgrad bzw. dein Ausbildungs-/Studienpensum in Prozent?,
UrlaubWochen,UrlaubWochen,,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,N,,,,no_direct_match,Wie viele Wochen Urlaub/Ferien hast du ungefähr pro Jahr?,
StressWochen,StressWochen,,quasi_identifier,drop,Demographic/context/routine/location-like variable; privacy-risky and requires manual review before inclusion.,true,N,,,,no_direct_match,"Wenn du an ein typisches Jahr denkst: In wie vielen Wochen pro Jahr erlebst du deinen Alltag insgesamt als deutlich stressiger oder belastender als gewöhnlich? Gemeint sind Wochen, in denen du dich durch Arbeit, Studium, Ausbildung, Familie oder andere Verpflichtungen deutlich stärker belastet fühls",
