variable_name,label,type,values_coding,scale,notes
timePoint,Measurement time point of survey administration.,categorical,1 = T1 (baseline); 2 = T2 (12-week follow-up); 3 = T3 (24-week follow-up),technical / wave control,Hidden control variable used to identify the measurement wave for repeated survey administrations.
Einv,Informed consent to participate in the research project.,logical,Y = consent provided; N = consent not provided,consent,Required consent item for study participation.
randomGroup,Randomization variable generated at baseline to assign study group.,categorical,1 = start with Phase A (AI coaching first); 2 = start with Phase B (baseline/transfer first),technical / randomization,Hidden variable generated only at baseline (timePoint = 1); used to derive studyGroup.
studyGroup,Study group allocation indicating the order of study phases.,categorical,1 = Phase A first (AI coaching first); 2 = Phase B first (baseline/transfer first),technical / group allocation,Hidden control variable derived from randomGroup and used for wave-specific branching.
AppName,Hidden app label displayed in wave-specific app questions.,categorical,"""Gesundheits-App"" = preinstalled health app; ""Studien KI-App"" = study AI app",technical / display logic,Hidden text variable that changes item wording depending on studyGroup and timePoint.
Bew1,Self-reported number of days per week with vigorous physical activity.,numeric,Integer number of days per week,physical activity behavior,Vigorous activity is defined in the survey as activity that noticeably increases heart rate and induces sweating.
Bew2,Self-reported minutes per day spent in vigorous physical activity.,numeric,Integer number of minutes per day,physical activity behavior,Displayed only if Bew1 is at least 1 day per week.
Bew3,Self-reported number of days per week with moderate physical activity.,numeric,Integer number of days per week,physical activity behavior,Moderate activity refers to activities of moderate intensity as described in the survey.
Bew4,Self-reported minutes per day spent in moderate physical activity.,numeric,Integer number of minutes per day,physical activity behavior,Displayed only if Bew3 is at least 1 day per week.
Bew5,Self-reported number of days per week with light physical activity.,numeric,Integer number of days per week,physical activity behavior,Light activity refers to light-intensity activity as described in the survey.
Bew6,Self-reported minutes per day spent in light physical activity.,numeric,Integer number of minutes per day,physical activity behavior,Displayed only if Bew5 is at least 1 day per week.
STG,Stage of change regarding regular physical activity.,ordinal,PC = no regular physical activity and no intention to start within 6 months; CO = no regular physical activity but intention to start within 6 months; PR = no regular physical activity but intention to start within 30 days; AC = regular physical activity for less than 6 months; MA = regular physical activity for at least 6 months,stage of change,Single-item stage classification based on regular physical activity.
METtotal,Hidden calculated total MET-minutes per week based on self-reported physical activity.,numeric,Calculated value,technical / physical activity classification,"LimeSurvey equation: METtotal = {((Bew1 * Bew2) * 9) + ((Bew3 * Bew4) * 5) + ((Bew5 * Bew6) * 3)} based on Nigg et al., (2024)"
PAFlag,Hidden physical activity classification flag based on METtotal and stage of change.,binary,1 = METtotal > 1500 and STG = MA; 0 = otherwise,technical / physical activity classification,"LimeSurvey equation: if((METtotal > 1500) and (STG == 'MA'), 1, 0). If a participant receives the PAFlag he is automaticaly excluded from the study."
PASubgroup,Hidden subgroup classification for baseline physical activity level.,categorical,1 = METtotal < 650; 2 = METtotal >= 650,technical / subgrouping,"LimeSurvey equation: if(METtotal < 650, 1, 2). Required for automatic T1 subgrouping. Subgroup 1 = inactive/lower METtotal than minimal WHO Guidelines, Subgroup 2 = METtotal between minimal and maximal WHO Guidelines."
Habit1,My decision to be physically active is something I do automatically.,ordinal,1 = disagree; 7 = agree,habit instigation automaticity,Automaticity subscale item; scale score = mean of Habit1–Habit4; range 1–7.
Habit2,My decision to be physically active is something I do without consciously remembering it.,ordinal,1 = disagree; 7 = agree,habit instigation automaticity,Automaticity subscale item; scale score = mean of Habit1–Habit4; range 1–7.
Habit3,My decision to be physically active is something I do without thinking about it.,ordinal,1 = disagree; 7 = agree,habit instigation automaticity,Automaticity subscale item; scale score = mean of Habit1–Habit4; range 1–7.
Habit4,My decision to be physically active is something I start doing before I realize that I am doing it.,ordinal,1 = disagree; 7 = agree,habit instigation automaticity,Automaticity subscale item; scale score = mean of Habit1–Habit4; range 1–7.
Intention1,Intention to be physically active on most days during the coming week.,ordinal,1 = very unlikely; 7 = very likely,intention,TPB intention item; scale score = mean of Intention1–Intention3; range 1–7.
Intention2,Intended effort to be physically active on most days during the coming week.,ordinal,1 = definitely false; 7 = definitely true,intention,TPB intention item; scale score = mean of Intention1–Intention3; range 1–7.
Intention3,Plan to be physically active on most days during the coming week.,ordinal,1 = strongly disagree; 7 = strongly agree,intention,TPB intention item; scale score = mean of Intention1–Intention3; range 1–7.
Att1,Evaluation of being physically active during the coming week as harmful versus beneficial.,ordinal,1 = harmful; 7 = beneficial,attitude toward behavior,TPB attitude item; scale score = mean of Att1–Att5; range 1–7.
Att2,Evaluation of being physically active during the coming week as unpleasant versus pleasant.,ordinal,1 = unpleasant; 7 = pleasant,attitude toward behavior,TPB attitude item; scale score = mean of Att1–Att5; range 1–7.
Att3,Evaluation of being physically active during the coming week as bad versus good.,ordinal,1 = bad; 7 = good,attitude toward behavior,TPB attitude item; scale score = mean of Att1–Att5; range 1–7.
Att4,Evaluation of being physically active during the coming week as useless versus valuable.,ordinal,1 = useless; 7 = valuable,attitude toward behavior,TPB attitude item; scale score = mean of Att1–Att5; range 1–7.
Att5,Evaluation of being physically active during the coming week as unenjoyable versus enjoyable.,ordinal,1 = unenjoyable; 7 = enjoyable,attitude toward behavior,TPB attitude item; scale score = mean of Att1–Att5; range 1–7.
Norm1,Perception that important others think the participant should be physically active on most days during the coming week.,ordinal,1 = important others think I should not be physically active; 7 = important others think I should be physically active,injunctive norm,TPB injunctive norm item; scale score = mean of Norm1–Norm3; range 1–7.
Norm2,Perception that regular physical activity on most days during the coming week is expected from the participant.,ordinal,1 = very unlikely; 7 = very likely,injunctive norm,TPB injunctive norm item; scale score = mean of Norm1–Norm3; range 1–7.
Norm3,Perception that valued others would support the participant in being physically active on most days during the coming week.,ordinal,1 = would not support; 7 = would support,injunctive norm,TPB injunctive norm item; scale score = mean of Norm1–Norm3; range 1–7.
Norm4,Perception that most important others are physically active on many days.,ordinal,1 = does not apply at all; 7 = fully applies,descriptive norm,TPB descriptive norm item; scale score = mean of Norm4–Norm6; range 1–7.
Norm5,Perception that valued others are physically active on many days.,ordinal,1 = not physically active; 7 = physically active,descriptive norm,TPB descriptive norm item; scale score = mean of Norm4–Norm6; range 1–7.
Norm6,Perception that many similar others are physically active on many days.,ordinal,1 = very unlikely; 7 = very likely,descriptive norm,TPB descriptive norm item; scale score = mean of Norm4–Norm6; range 1–7.
Control1,Perceived possibility of being physically active on many days during the coming week.,ordinal,1 = impossible; 7 = possible,perceived behavioral control - capability,TPB perceived capability item; scale score = mean of Control1–Control2; range 1–7.
Control2,Perceived feasibility of being physically active on many days during the coming week if desired.,ordinal,1 = definitely false; 7 = definitely true,perceived behavioral control - capability,TPB perceived capability item; scale score = mean of Control1–Control2; range 1–7.
Control3,Perceived amount of control over being physically active on many days during the coming week.,ordinal,1 = no control; 7 = complete control,perceived behavioral control - controllability,TPB controllability item; scale score = mean of Control3–Control4; range 1–7. Overall perceived behavioral control can be averaged across capability and controllability.
Control4,Perception that being physically active on many days during the coming week mainly depends on oneself.,ordinal,1 = strongly disagree; 7 = strongly agree,perceived behavioral control - controllability,TPB controllability item; scale score = mean of Control3–Control4; range 1–7. Overall perceived behavioral control can be averaged across capability and controllability.
IntVer1,Physical activity is enjoyable to the participant.,ordinal,0 = does not apply at all; 4 = fully applies,interest/enjoyment,Motivation item (interest/enjoyment); subscale score = mean of IntVer1–IntVer3; range 0–4.
IntVer2,Physical activity is very interesting to the participant.,ordinal,0 = does not apply at all; 4 = fully applies,interest/enjoyment,Motivation item (interest/enjoyment); subscale score = mean of IntVer1–IntVer3; range 0–4.
IntVer3,Physical activity is entertaining to the participant.,ordinal,0 = does not apply at all; 4 = fully applies,interest/enjoyment,Motivation item (interest/enjoyment); subscale score = mean of IntVer1–IntVer3; range 0–4.
wKomp1,The participant is generally satisfied with their performance in physical activity.,ordinal,0 = does not apply at all; 4 = fully applies,perceived competence,Motivation item (perceived competence); subscale score = mean of wKomp1–wKomp3; range 0–4.
wKomp2,The participant perceives themself as skillful in physical activity.,ordinal,0 = does not apply at all; 4 = fully applies,perceived competence,Motivation item (perceived competence); subscale score = mean of wKomp1–wKomp3; range 0–4.
wKomp3,The participant believes they are quite good across different physical activities.,ordinal,0 = does not apply at all; 4 = fully applies,perceived competence,Motivation item (perceived competence); subscale score = mean of wKomp1–wKomp3; range 0–4.
wWahl1,The participant feels able to self-direct their physical activity.,ordinal,0 = does not apply at all; 4 = fully applies,perceived choice,Motivation item (perceived choice); subscale score = mean of wWahl1–wWahl3; range 0–4.
wWahl2,The participant can choose how to engage in their physical activity.,ordinal,0 = does not apply at all; 4 = fully applies,perceived choice,Motivation item (perceived choice); subscale score = mean of wWahl1–wWahl3; range 0–4.
wWahl3,The participant can proceed in physical activity in the way they want.,ordinal,0 = does not apply at all; 4 = fully applies,perceived choice,Motivation item (perceived choice); subscale score = mean of wWahl1–wWahl3; range 0–4.
DrAn1,The participant feels under pressure when performing physical activity.,ordinal,0 = does not apply at all; 4 = fully applies,pressure/tension,Motivation item (pressure/tension); subscale score = mean of DrAn1–DrAn3; range 0–4.
DrAn2,The participant feels tense when performing physical activity.,ordinal,0 = does not apply at all; 4 = fully applies,pressure/tension,Motivation item (pressure/tension); subscale score = mean of DrAn1–DrAn3; range 0–4.
DrAn3,The participant is concerned about generally not doing well in physical activity.,ordinal,0 = does not apply at all; 4 = fully applies,pressure/tension,Motivation item (pressure/tension); subscale score = mean of DrAn1–DrAn3; range 0–4.
ACheck1,Attention check item instructing the respondent to select response category 3.,ordinal,0 = does not apply at all; 4 = fully applies,attention check,Attention check item; exclude from subscale scoring.
discat1,Reason for being physically active: to reduce anger and irritability.,ordinal,1 = strongly disagree; 5 = strongly agree,distraction/catharsis,BMZI motive/goal item; multiple subscales are represented in the scale column.
discat2,Reason for being physically active: to distract oneself from other problems.,ordinal,1 = strongly disagree; 5 = strongly agree,distraction/catharsis,BMZI motive/goal item; multiple subscales are represented in the scale column.
discat3,Reason for being physically active: to reduce stress.,ordinal,1 = strongly disagree; 5 = strongly agree,distraction/catharsis,BMZI motive/goal item; multiple subscales are represented in the scale column.
discat4,Reason for being physically active: to sort out one’s thoughts.,ordinal,1 = strongly disagree; 5 = strongly agree,distraction/catharsis,BMZI motive/goal item; multiple subscales are represented in the scale column.
discat5,Reason for being physically active: to relax.,ordinal,1 = strongly disagree; 5 = strongly agree,distraction/catharsis,BMZI motive/goal item; multiple subscales are represented in the scale column.
enjoy1,Reason for being physically active: to recharge one's batteries.,ordinal,1 = strongly disagree; 5 = strongly agree,activation/joy,BMZI motive/goal item; multiple subscales are represented in the scale column.
enjoy2,Reason for being physically active: primarily for the joy of movement.,ordinal,1 = strongly disagree; 5 = strongly agree,activation/joy,BMZI motive/goal item; multiple subscales are represented in the scale column.
enjoy3,Reason for being physically active: because of the thrill.,ordinal,1 = strongly disagree; 5 = strongly agree,activation/joy,BMZI motive/goal item; multiple subscales are represented in the scale column.
fit1,Reason for being physically active: to remain in good physical condition.,ordinal,1 = strongly disagree; 5 = strongly agree,fitness,BMZI motive/goal item; multiple subscales are represented in the scale column.
fit2,Reason for being physically active: mainly to stay fit.,ordinal,1 = strongly disagree; 5 = strongly agree,fitness,BMZI motive/goal item; multiple subscales are represented in the scale column.
fit3,Reason for being physically active: mainly to do something for physical fitness.,ordinal,1 = strongly disagree; 5 = strongly agree,fitness,BMZI motive/goal item; multiple subscales are represented in the scale column.
heal1,Reason for being physically active: mainly for health reasons.,ordinal,1 = strongly disagree; 5 = strongly agree,health,BMZI motive/goal item; multiple subscales are represented in the scale column.
heal2,Reason for being physically active: mainly to improve health status.,ordinal,1 = strongly disagree; 5 = strongly agree,health,BMZI motive/goal item; multiple subscales are represented in the scale column.
heal3,Reason for being physically active: to counteract physical complaints.,ordinal,1 = strongly disagree; 5 = strongly agree,health,BMZI motive/goal item; multiple subscales are represented in the scale column.
comper1,Reason for being physically active: because one thrives in competition.,ordinal,1 = strongly disagree; 5 = strongly agree,competition/performance,BMZI motive/goal item; multiple subscales are represented in the scale column.
comper2,Reason for being physically active: to compete with others.,ordinal,1 = strongly disagree; 5 = strongly agree,competition/performance,BMZI motive/goal item; multiple subscales are represented in the scale column.
comper3,Reason for being physically active: to achieve athletic goals.,ordinal,1 = strongly disagree; 5 = strongly agree,competition/performance,BMZI motive/goal item; multiple subscales are represented in the scale column.
aes1,Reason for being physically active: because the beauty of human movement in sport is enjoyable.,ordinal,1 = strongly disagree; 5 = strongly agree,aesthetics,BMZI motive/goal item; multiple subscales are represented in the scale column.
aes2,Reason for being physically active: because sport offers the possibility of beautiful movement.,ordinal,1 = strongly disagree; 5 = strongly agree,aesthetics,BMZI motive/goal item; multiple subscales are represented in the scale column.
con1,Reason for being physically active: to socialize with others.,ordinal,1 = strongly disagree; 5 = strongly agree,contact,BMZI motive/goal item; multiple subscales are represented in the scale column.
con2,Reason for being physically active: to do something in a group.,ordinal,1 = strongly disagree; 5 = strongly agree,contact,BMZI motive/goal item; multiple subscales are represented in the scale column.
con3,Reason for being physically active: to meet friends or acquaintances.,ordinal,1 = strongly disagree; 5 = strongly agree,contact,BMZI motive/goal item; multiple subscales are represented in the scale column.
con4,Reason for being physically active: to get to know other people.,ordinal,1 = strongly disagree; 5 = strongly agree,contact,BMZI motive/goal item; multiple subscales are represented in the scale column.
con5,Reason for being physically active: to make new friends through sport.,ordinal,1 = strongly disagree; 5 = strongly agree,contact,BMZI motive/goal item; multiple subscales are represented in the scale column.
figapp1,Reason for being physically active: to lose weight.,ordinal,1 = strongly disagree; 5 = strongly agree,appearance,BMZI motive/goal item; multiple subscales are represented in the scale column.
figapp2,Reason for being physically active: to regulate body weight.,ordinal,1 = strongly disagree; 5 = strongly agree,appearance,BMZI motive/goal item; multiple subscales are represented in the scale column.
figapp3,Reason for being physically active: because of one’s figure or appearance.,ordinal,1 = strongly disagree; 5 = strongly agree,appearance,BMZI motive/goal item; multiple subscales are represented in the scale column.
risk1,Reason for being physically active: to take a risk.,ordinal,1 = strongly disagree; 5 = strongly agree,risk/challenge,BMZI motive/goal item; multiple subscales are represented in the scale column.
risk2,Reason for being physically active: because risky situations are appealing.,ordinal,1 = strongly disagree; 5 = strongly agree,risk/challenge,BMZI motive/goal item; multiple subscales are represented in the scale column.
risk3,Reason for being physically active: to test one’s courage.,ordinal,1 = strongly disagree; 5 = strongly agree,risk/challenge,BMZI motive/goal item; multiple subscales are represented in the scale column.
ACheck2,Attention check item instructing the respondent to select response category 3.,ordinal,1 = strongly disagree; 5 = strongly agree,attention check,Attention check item; exclude from subscale scoring.
MotivComp1,Ability to choose a suitable physical activity from a variety of options.,ordinal,1 = does not apply at all; 5 = fully applies,motivational competence,Motivational competence item; scale score = mean of MotivComp1–MotivComp4; range 1–5.
MotivComp2,Ability to recognize whether a physical activity is a good personal fit.,ordinal,1 = does not apply at all; 5 = fully applies,motivational competence,Motivational competence item; scale score = mean of MotivComp1–MotivComp4; range 1–5.
MotivComp3,Clarity about what matters personally in a physical activity so that it is enjoyable.,ordinal,1 = does not apply at all; 5 = fully applies,motivational competence,Motivational competence item; scale score = mean of MotivComp1–MotivComp4; range 1–5.
MotivComp4,Ease of judging what characterizes different physical activities.,ordinal,1 = does not apply at all; 5 = fully applies,motivational competence,Motivational competence item; scale score = mean of MotivComp1–MotivComp4; range 1–5.
ActionPlan1,Plan for which type of physical activity will be performed during the next two weeks.,ordinal,1 = strongly disagree; 6 = strongly agree,action planning,Action planning item; scale score = mean of ActionPlan1–ActionPlan4; range 1–6.
ActionPlan2,Plan for where physical activity will be performed during the next two weeks.,ordinal,1 = strongly disagree; 6 = strongly agree,action planning,Action planning item; scale score = mean of ActionPlan1–ActionPlan4; range 1–6.
ActionPlan3,Plan for on which days of the week physical activity will be performed during the next two weeks.,ordinal,1 = strongly disagree; 6 = strongly agree,action planning,Action planning item; scale score = mean of ActionPlan1–ActionPlan4; range 1–6.
ActionPlan4,Plan for how long physical activity will be performed during the next two weeks.,ordinal,1 = strongly disagree; 6 = strongly agree,action planning,Action planning item; scale score = mean of ActionPlan1–ActionPlan4; range 1–6.
VolSelf1,Tendency to carry out a planned physical activity.,ordinal,1 = does not apply at all; 5 = fully applies,volitional self-control,Volitional self-control item; scale score = mean of VolSelf1–VolSelf3; range 1–5.
VolSelf2,Tendency to keep one’s intention to be active in mind and not be easily distracted from it.,ordinal,1 = does not apply at all; 5 = fully applies,volitional self-control,Volitional self-control item; scale score = mean of VolSelf1–VolSelf3; range 1–5.
VolSelf3,Discipline in implementing one’s intention to become more physically active.,ordinal,1 = does not apply at all; 5 = fully applies,volitional self-control,Volitional self-control item; scale score = mean of VolSelf1–VolSelf3; range 1–5.
AttentionCheckFlag,Hidden flag for attention-check failure.,binary,1 = at least 2 of 3 attention checks failed; 0 = fewer than 2 failed,technical / data quality,"LimeSurvey equation: if((ACheck1 != 3) + (ACheck2 != 3) + (ACheck3 != 3) >= 2, 1, 0). Only relevant for T1."
Geb,Date of birth of the participant.,date,Date value,demographics,Can be used to derive participant age.
Ges,Self-reported gender of the participant.,categorical,w = female; m = male; nb = non-binary; na = prefer not to answer,demographics,Demographic variable.
Ethn_Eu,Selection of a European ethnic or cultural affiliation.,logical,Y = selected; N = not selected,demographics,Multiple selections possible. The survey additionally invited a free-text specification.
Ethn_As,Selection of an Asian ethnic or cultural affiliation.,logical,Y = selected; N = not selected,demographics,Multiple selections possible. The survey additionally invited a free-text specification.
Ethn_Am,Selection of an American ethnic or cultural affiliation.,logical,Y = selected; N = not selected,demographics,Multiple selections possible. The survey additionally invited a free-text specification.
Ethn_Af,Selection of an African ethnic or cultural affiliation.,logical,Y = selected; N = not selected,demographics,Multiple selections possible. The survey additionally invited a free-text specification.
Ethn_AuNe,Selection of an Australian or New Zealand ethnic or cultural affiliation.,logical,Y = selected; N = not selected,demographics,Multiple selections possible. The survey additionally invited a free-text specification.
Ethn_LaAa,Selection of a Latin American or African American ethnic or cultural affiliation.,logical,Y = selected; N = not selected,demographics,Multiple selections possible. The survey additionally invited a free-text specification.
Ethn_Noe,Selection of a Middle Eastern ethnic or cultural affiliation.,logical,Y = selected; N = not selected,demographics,Multiple selections possible. The survey additionally invited a free-text specification.
Ethn_In,Selection of an Indigenous ethnic or cultural affiliation.,logical,Y = selected; N = not selected,demographics,Multiple selections possible. The survey additionally invited a free-text specification.
Edu,Highest completed educational qualification of the participant.,ordinal,Abb = early school leaving; OS = compulsory schooling; BL = vocational training/apprenticeship; Abi = upper secondary school / Abitur; BA = Bachelor; MA = Master; PhD = doctorate; pPhD = beyond doctorate,demographics,Demographic variable.
Wohn,Current country of residence.,categorical,DE = Germany; CH = Switzerland; AU = Austria,demographics,Demographic variable.
PhoneSystem,Smartphone operating system used by the participant.,categorical,Googl = Android; Apple = iOS,device information,Used to route participants to the correct app store link.
AppUseGeneral,Previous use of apps or wearable devices to promote physical activity.,logical,Y = yes; N = no,prior app use,Background question on prior digital self-tracking / coaching experience.
QualAppGeneral,"Description of currently used apps or devices, including duration, frequency, and purpose of use.",text,Open-ended text response,prior app use,Displayed only if AppUseGeneral = Y.
Prof,Current employment status of the participant.,categorical,Lehr = apprenticeship/training; Stud = university student; Selb = self-employed; Anges = employed; Arblo = unemployed,demographics,Demographic variable.
AufWa,Wake-up time on a typical day.,time (HH:MM),Text entry in HH:MM format,daily routine,Part of the typical workday routine block.
StaProf,Start time of work or study on a typical day.,time (HH:MM),Text entry in HH:MM format,daily routine,Part of the typical workday routine block.
PausDau,Duration of breaks on a typical day.,duration (HH:MM),Text entry in HH:MM format,daily routine,Part of the typical workday routine block.
EndProf,End time of work or study on a typical day.,time (HH:MM),Text entry in HH:MM format,daily routine,Part of the typical workday routine block.
FreiDau,Duration of leisure time on a typical day.,duration (HH:MM),Text entry in HH:MM format,daily routine,Part of the typical workday routine block.
BettZeit,Bedtime on a typical day.,time (HH:MM),Text entry in HH:MM format,daily routine,Part of the typical workday routine block.
Branche,Short description of the participant’s occupational sector or field.,text,Short open-ended text response (max. three words),demographics,Open-ended demographic variable.
Einko,Monthly gross income category.,ordinal,1 = < 1000 CHF; 2 = 1000–1500 CHF; 3 = 1500–2000 CHF; 4 = 2000–2500 CHF; 5 = 3000–3500 CHF; 6 = 3500–4000 CHF; 7 = 4000–4500 CHF; 8 = 4500–5000 CHF; 9 = > 5000 CHF,demographics,Income categories as defined in the survey.
Wohnort,Self-described type of residential area.,categorical,"Dorf = rural municipality/village (<5,000 inhabitants); Klein = small town (5,000–<20,000); Mitte = medium-sized town (20,000–<100,000); Gross = large city (100,000–<500,000); Metro = metropolis / very large city (>=500,000)",socio-demographic information,Demographic variable.
HHGroesse,"Number of people living in the participant’s household, including the participant.",numeric,Integer number of persons,household information,Demographic variable.
HHMinderj,Number of minors under 18 years living in the participant’s household.,numeric,Integer number of persons under 18,household information,Displayed only if HHGroesse > 1. Demographic variable.
CareArbeit,"Whether the participant performs household, childcare, or care work for relatives.",logical,Y = yes; N = no,care work,Demographic variable.
CareStunden,"Estimated number of hours per week spent on household, childcare, or care work.",numeric,Integer number of hours per week,care work,Displayed only if CareArbeit = Y. Demographic Variable
Social,Estimated average number of hours per week spent with social contacts.,numeric,Integer/number of hours per week,social contacts,"Examples in LimeSurvey include friends, family, and partner. Demographic Variable."
Ver,Evaluation of whether the direct residential environment is densely built and highly sealed.,ordinal,1 = fully applies; 2 = rather applies; 3 = partly/partly; 4 = rather does not apply; 5 = does not apply at all,residential environment,Subquestion of UmgebTyp; direct environment refers to approx. 800 m / 10 min walking distance.
Nat,"Evaluation of whether the participant has quick access from home to nature such as forest, parks, or water.",ordinal,1 = fully applies; 2 = rather applies; 3 = partly/partly; 4 = rather does not apply; 5 = does not apply at all,residential environment,Subquestion of UmgebTyp; quick access defined as less than 300 m / 5 min walking distance.
Mov,Evaluation of whether pleasant and safe routes for walking or cycling are available in everyday life/leisure time.,ordinal,1 = fully applies; 2 = rather applies; 3 = partly/partly; 4 = rather does not apply; 5 = does not apply at all,residential environment,Subquestion of UmgebTyp.
BStel,Approximate distance from home to place of occupation.,numeric,Distance in km,distance to points of interest,"Subquestion of EntfernPOI. Examples: workplace, university/school, home office. If multiple places apply, participant should enter an average distance."
InBew,Approximate distance from home to indoor physical activity opportunities.,numeric,Distance in km,distance to points of interest,"Subquestion of EntfernPOI. Examples: gym/fitness center, swimming pool, sports hall. If multiple places apply, participant should enter an average distance."
OutBew,Approximate distance from home to outdoor physical activity opportunities.,numeric,Distance in km,distance to points of interest,"Subquestion of EntfernPOI. Examples: park/forest, training field. If multiple places apply, participant should enter an average distance."
AppUseStudy,Use of the study-relevant app or device during the previous 12 weeks.,logical,Y = yes; N = no,app use,Wave-specific wording depends on studyGroup and timePoint (study AI app vs. preinstalled health app vs. any app/wearable).
AppUseDays,Average number of days per week the relevant app or device was used during the previous 12 weeks.,numeric,Integer number of days per week,app use,Displayed only if AppUseStudy = Y.
TransferAppDetail,Description of apps or devices used during the transfer phase and their purpose.,text,Open-ended text response,app use,Displayed only for studyGroup = 1 at timePoint = 3 when AppUseStudy = Y.
WA1,Overall visual attractiveness of the app.,ordinal,1 = strongly disagree; 7 = strongly agree,app aesthetics,App evaluation / acceptance item.
WA2,Attractiveness of the app layout.,ordinal,1 = strongly disagree; 7 = strongly agree,app aesthetics,App evaluation / acceptance item.
WA3,Appeal of the colors used in the app.,ordinal,1 = strongly disagree; 7 = strongly agree,app aesthetics,App evaluation / acceptance item.
WN1,Perceived usefulness of the app for improving knowledge about physical activity.,ordinal,1 = strongly disagree; 7 = strongly agree,perceived usefulness,App evaluation / acceptance item.
WN2,Perceived usefulness of the app for more efficient information search about physical activity.,ordinal,1 = strongly disagree; 7 = strongly agree,perceived usefulness,App evaluation / acceptance item.
WN3,Perceived usefulness of the app for more productive information search about physical activity.,ordinal,1 = strongly disagree; 7 = strongly agree,perceived usefulness,App evaluation / acceptance item.
WN4,Perceived usefulness of the app for finding information about physical activity.,ordinal,1 = strongly disagree; 7 = strongly agree,perceived usefulness,App evaluation / acceptance item.
WB1,Perceived ease of using the app.,ordinal,1 = strongly disagree; 7 = strongly agree,perceived ease of use,App evaluation / acceptance item.
WB2,Perceived ease of learning how to use the app.,ordinal,1 = strongly disagree; 7 = strongly agree,perceived ease of use,App evaluation / acceptance item.
WB3,Perceived clarity and comprehensibility of interaction with the app.,ordinal,1 = strongly disagree; 7 = strongly agree,perceived ease of use,App evaluation / acceptance item.
WB4,Perceived intuitiveness of using the app.,ordinal,1 = strongly disagree; 7 = strongly agree,perceived ease of use,App evaluation / acceptance item.
WF1,Perception that using the app is entertaining.,ordinal,1 = strongly disagree; 7 = strongly agree,app enjoyment,App evaluation / acceptance item.
WF2,Perception that using the app is enjoyable.,ordinal,1 = strongly disagree; 7 = strongly agree,app enjoyment,App evaluation / acceptance item.
WF3,Perception that using the app is interesting.,ordinal,1 = strongly disagree; 7 = strongly agree,app enjoyment,App evaluation / acceptance item.
WF4,Perception that using the app is pleasurable.,ordinal,1 = strongly disagree; 7 = strongly agree,app enjoyment,App evaluation / acceptance item.
WV1,Perceived credibility of the information provided by the app.,ordinal,1 = strongly disagree; 7 = strongly agree,app trust,App evaluation / acceptance item.
WV2,Perception that the app is honest and reliable.,ordinal,1 = strongly disagree; 7 = strongly agree,app trust,App evaluation / acceptance item.
WV3,Perception that the app can be trusted completely.,ordinal,1 = strongly disagree; 7 = strongly agree,app trust,App evaluation / acceptance item.
WV4,Perception that the app keeps its promises.,ordinal,1 = strongly disagree; 7 = strongly agree,app trust,App evaluation / acceptance item.
NI1,Intention to use the app regularly in the future.,ordinal,1 = strongly disagree; 7 = strongly agree,future usage intention,App evaluation / acceptance item.
NI2,Intention to use the app frequently in the future.,ordinal,1 = strongly disagree; 7 = strongly agree,future usage intention,App evaluation / acceptance item.
NI3,Intention to use the app if access to a smartphone is available.,ordinal,1 = strongly disagree; 7 = strongly agree,future usage intention,App evaluation / acceptance item.
NI4,Expected future use of the app if access to a smartphone is available.,ordinal,1 = strongly disagree; 7 = strongly agree,future usage intention,App evaluation / acceptance item.
ACheck3,Attention check item instructing the respondent to select response category 3.,ordinal,1 = strongly disagree; 7 = strongly agree,attention check,Attention check item; exclude from subscale scoring.
QualPos,Most positively perceived aspect of the app.,text,Open-ended text response,app evaluation,Displayed only if AppUseStudy = Y and not for studyGroup = 1 at timePoint = 3.
QualNeg,Suggested improvements for the app.,text,Open-ended text response,app evaluation,Displayed only if AppUseStudy = Y and not for studyGroup = 1 at timePoint = 3.
otherAppUse,Use of other apps or wearable devices to promote physical activity during the previous 12 weeks.,logical,Y = yes; N = no,other app use,Follow-up question about additional digital tools beyond the focal app/device.
QualOthApp,Description of other apps or devices used and their purpose.,text,Open-ended text response,other app use,Displayed only if otherAppUse = Y.
SystemLink,Hidden app store / system link generated for the participant.,text,Generated link or app-store route,technical / contact,Hidden variable used to display the appropriate download link based on operating system and study phase.
eMailIG,Email address for follow-up communication in the Phase-A-first pathway.,text,Email address,contact information,Personally identifiable information. Displayed only if studyGroup = 1.
eMailValidIG,Confirmation of the email address in the Phase-A-first pathway.,text,Email address,contact information,Personally identifiable information. Used to confirm the entered email address for studyGroup = 1.
eMailKG,Email address for follow-up communication in the Phase-B-first pathway.,text,Email address,contact information,Personally identifiable information. Displayed only if studyGroup = 2.
eMailValidKG,Confirmation of the email address in the Phase-B-first pathway.,text,Email address,contact information,Personally identifiable information. Used to confirm the entered email address for studyGroup = 2.
Name,Preferred name or nickname for follow-up communication.,text,Short open-ended text response,contact information,Personally identifiable information used in study emails.
